title,address,phone,lng,lat
重庆交通大学(科学城校区)-学生心理咨询服务中心,重庆市江津区双福街道福星大道1号重庆交通大学(科学城校区),未知,106.3242,29.423784
重庆德思宏心理咨询服务有限公司,重庆市渝北区金开大道西段210号,未知,106.484496,29.630729
雨点心理,虎歇路与河运路交叉口西北60米,未知,106.506477,29.548563
西南政法大学(渝北校区)-关心下一代工作委员会心理咨询室,重庆市渝北区宝圣大道301号,未知,106.597633,29.667517
重庆市大渡口区心理咨询师协会,重庆市大渡口区钢花路326号,(023)68875977,106.49497,29.489593
语蔓心理咨询,重庆市渝北区金州大道力帆·红星国际广场,未知,106.551389,29.650113
重庆九五医院-心理咨询师协会,重庆市大渡口区大渡口钢花路326号,未知,106.495052,29.489712
重庆两江新区融智心理咨询服务有限公司,重庆两江新区鸳鸯街道金渝大道28号辅助厂房一层,未知,106.517025,29.672332
重庆百为心理咨询有限公司,同茂大道418号25-11（维也纳国际酒店中央公园店大厅上25楼）,17623611210,106.576473,29.730685
心理咨询,重庆市巴南区渝南大道233号旭辉乐活城F1,未知,106.551629,29.407374
沙坪坝阳光心理咨询中心,重庆市沙坪坝区QCMC生活区,未知,106.321509,29.552667
荟文楼心理工程中心(第九教学楼),重庆市北碚区文渊路西南大学,未知,106.435732,29.832844
重庆市静心家园心理咨询有限责任公司,重庆市沙坪坝区大学城师大苑5栋1-16-1,未知,106.297368,29.617615
重庆安吉心理咨询有限公司,重庆市沙坪坝区大学城北路101号29-3,未知,106.298795,29.612127
重庆医药高等专科学校-心理咨询室,重庆市沙坪坝区大学城中路82号,未知,106.320784,29.634388
重庆东华医院-失眠心理卫生中心,重庆市沙坪坝区石井坡168号,未知,106.44695,29.5961
心理咨询,重庆市沙坪坝区银昆高速龙湖U城听蓝湾,未知,106.296192,29.612795
西南大学-心理咨询室,重庆市北碚区天生路2号西南大学内,未知,106.437424,29.832054
重庆医科大学附属儿童医院-心理科,重庆市渝中区重庆医科大学附属儿童医院门诊部,未知,106.560175,29.561168
道易馆取名(海棠溪店),溪新街48号5单元1层3号(上浩地铁站4A口旁),17708345133,106.599903,29.551852
乾缘堂,松石北路186号,(023)67023530,106.511477,29.595516
重庆乐享心途心理成长中心,"庆云路1号IFS国金中心24-9号（当日可约,致电享线上助理免费分析）",未知,106.579215,29.582068
桔子山居身心疗愈空间,峡口镇公园路西流村63号,15320613783,106.660146,29.565594
重庆九五医院-心理科,重庆市大渡口区钢花路326号,未知,106.494887,29.489537
青少年儿童心理中心,重庆市沙坪坝区内环快速与高滩岩立交交叉路口往东南约100米,未知,106.450924,29.545809
